Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Dist,Train,Tram,Group,Pré,Pan,Pós,Transport,Train,Tram,Bouth
BRAYBROOK,424000,479500,550000,629000,665000,728500,646500,669500,739000,794500,712000,8,Não,Sim,Inner city,-2.78%,14.31%,-3.65%,Tram only,0,1,0
BREAKWATER,255000,251500,267500,277500,335000,385000,405000,410000,534500,580000,575000,Regional Victoria,#N/A,#N/A,Regional Victoria,20.90%,31.98%,7.58%,#N/A,#N/A,#N/A,#N/A
BRIAGOLONG,226000,200000,215000,265000,257000,264000,315000,277500,400000,415000,436500,Regional Victoria,#N/A,#N/A,Regional Victoria,22.57%,26.98%,9.13%,#N/A,#N/A,#N/A,#N/A
BRIAR HILL,572500,633000,680000,721500,833000,880000,823500,863000,1015000,984500,1001000,18,Não,Não,Inner suburbs,-1.14%,23.25%,-1.38%,None,0,0,0
BRIGHT,325000,339500,392500,429500,495000,590000,580000,700000,909500,1195000,1100000,Regional Victoria,#N/A,#N/A,Regional Victoria,17.17%,56.81%,20.95%,#N/A,#N/A,#N/A,#N/A
BRIGHTON,1802500,1940000,2307500,2740000,3050000,2888000,2675000,3148500,3515000,3457500,3200000,10,Sim,Não,Inner city,-12.30%,31.40%,-8.96%,Train only,1,0,0
BRIGHTON EAST,1230000,1300500,1600000,1750000,1890000,1880000,1700000,1950000,2265000,2316500,2425000,10,Não,Sim,Inner city,-10.05%,33.24%,7.06%,Tram only,0,1,0
BROADFORD,291000,267000,270000,287500,330000,396500,415000,454000,505000,570000,550000,Regional Victoria,#N/A,#N/A,Regional Victoria,25.76%,21.69%,8.91%,#N/A,#N/A,#N/A,#N/A
BROADMEADOWS,325000,345000,370000,416500,546000,575000,525500,551500,590000,600000,560000,16,Sim,Não,Inner suburbs,-3.75%,12.27%,-5.08%,Train only,1,0,0
BROOKFIELD,330000,350500,340000,360000,425000,491500,445000,500000,539000,570000,560000,Regional Victoria,#N/A,#N/A,Regional Victoria,4.71%,21.12%,3.90%,#N/A,#N/A,#N/A,#N/A
BROOKLYN,491500,540000,602000,700500,834000,695000,672500,712500,850000,810000,740000,11,Não,Não,Inner suburbs,-19.36%,26.39%,-12.94%,None,0,0,0
BROWN HILL,310000,281500,270000,338000,350000,405000,449000,487500,600000,601000,740000,Regional Victoria,#N/A,#N/A,Regional Victoria,28.29%,33.63%,23.33%,#N/A,#N/A,#N/A,#N/A
BRUNSWICK,750000,812500,861000,947000,1200000,1100000,1037500,1100000,1350000,1330000,1300000,4,Sim,Sim,Inner city,-13.54%,30.12%,-3.70%,Train and Tram,1,1,1
BRUNSWICK EAST,767000,820000,888000,998000,1150000,1170000,1011500,1286500,1440000,1350000,1400000,4,Não,Sim,Inner city,-12.04%,42.36%,-2.78%,Tram only,0,1,0
BRUNSWICK WEST,745000,790000,863000,1002500,1155000,1160000,1061000,1180000,1324000,1285500,1275000,5,Não,Sim,Inner city,-8.14%,24.79%,-3.70%,Tram only,0,1,0
BRUTHEN,198000,182500,205000,207000,229500,261000,229000,345000,285000,455000,470000,Regional Victoria,#N/A,#N/A,Regional Victoria,-0.22%,24.45%,64.91%,#N/A,#N/A,#N/A,#N/A
BULLEEN,780000,861000,1095000,1170000,1300000,1230000,1105000,1177000,1355000,1386000,1398000,12,Não,Não,Inner suburbs,-15.00%,22.62%,3.17%,None,0,0,0
BUNDALONG,337500,336500,372500,425000,373000,462000,515000,725000,674500,2519000,968000,Regional Victoria,#N/A,#N/A,Regional Victoria,38.07%,30.97%,43.51%,#N/A,#N/A,#N/A,#N/A
BUNDOORA,530000,553500,600500,652000,753000,730000,735000,745000,865000,853000,858500,16,Não,Não,Inner suburbs,-2.39%,17.69%,-0.75%,None,0,0,0
BUNINYONG,348000,385000,364500,381000,470000,467500,475000,587500,666000,770000,680000,Regional Victoria,#N/A,#N/A,Regional Victoria,1.06%,40.21%,2.10%,#N/A,#N/A,#N/A,#N/A
BUNYIP,332500,325000,420000,357500,437500,550000,500500,541500,652500,750000,730000,Regional Victoria,#N/A,#N/A,Regional Victoria,14.40%,30.37%,11.88%,#N/A,#N/A,#N/A,#N/A
BURNLEY,836000,1100000,999000,1215000,1405000,1277500,1188500,1497500,1595000,1565000,1582500,4,Sim,Sim,Inner city,-15.41%,34.20%,-0.78%,Train and Tram,1,1,1
BURNSIDE,390000,401000,415000,518500,572500,605000,605000,660000,720000,780000,752500,Regional Victoria,#N/A,#N/A,Regional Victoria,5.68%,19.01%,4.51%,#N/A,#N/A,#N/A,#N/A
BURNSIDE HEIGHTS,427000,442500,460000,522000,590000,633000,591000,652500,701000,749000,745000,22,Não,Não,Middle ring,0.17%,18.61%,6.28%,None,0,0,0
BURWOOD,780000,921000,1190000,1219000,1357000,1320000,1170000,1277500,1430000,1381000,1497500,15,Sim,Não,Inner suburbs,-13.78%,22.22%,4.72%,Train only,1,0,0
BURWOOD EAST,685500,782000,982500,1021000,1126500,1005000,1106000,1168500,1250500,1259000,1280000,17,Não,Não,Inner suburbs,-1.82%,13.07%,2.36%,None,0,0,0
CAIRNLEA,480000,545000,540000,608500,710000,734000,752500,807500,850000,941500,936500,14,Não,Não,Inner suburbs,5.99%,12.96%,10.18%,None,0,0,0
CALIFORNIA GULLY,252500,262000,255000,255000,250000,275000,287000,318000,415000,463000,461000,Regional Victoria,#N/A,#N/A,Regional Victoria,14.80%,44.60%,11.08%,#N/A,#N/A,#N/A,#N/A
CAMBERWELL,1382000,1655000,1912500,2090000,2300000,2155000,2070000,2072500,2569000,2650000,2538000,8,Sim,Sim,Inner city,-10.00%,24.11%,-1.21%,Train and Tram,1,1,1
CAMPBELLFIELD,330000,338000,374500,420000,507000,550000,533000,537500,602500,605000,605000,17,Não,Não,Inner suburbs,5.13%,13.04%,0.41%,None,0,0,0
CAMPBELLS CREEK,382000,345000,387500,426500,380000,460500,500000,522500,652500,710000,722500,Regional Victoria,#N/A,#N/A,Regional Victoria,31.58%,30.50%,10.73%,#N/A,#N/A,#N/A,#N/A
CAMPERDOWN,220000,186000,218000,217500,240000,235000,280000,292500,362500,415000,470000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.67%,29.46%,29.66%,#N/A,#N/A,#N/A,#N/A
CANADIAN,322500,297000,345000,339000,334500,373000,375000,422500,490000,580000,535000,Regional Victoria,#N/A,#N/A,Regional Victoria,12.11%,30.67%,9.18%,#N/A,#N/A,#N/A,#N/A
CANTERBURY,1950000,2100000,2523000,2620000,3140000,2533000,2902500,2705000,3389000,3460000,3252500,8,Sim,Não,Inner city,-7.56%,16.76%,-4.03%,Train only,1,0,0
CAPE PATERSON,337000,332000,350000,358000,407500,442000,540000,635500,782500,880000,804500,Regional Victoria,#N/A,#N/A,Regional Victoria,32.52%,44.91%,2.81%,#N/A,#N/A,#N/A,#N/A
CAPE SCHANCK,620000,557500,660000,667500,972500,845000,940000,1095500,1350000,2250000,1524000,Regional Victoria,#N/A,#N/A,Regional Victoria,-3.34%,43.62%,12.89%,#N/A,#N/A,#N/A,#N/A
CAPEL SOUND,350000,366000,390000,442500,542500,550000,520000,582500,775000,815000,740000,Regional Victoria,#N/A,#N/A,Regional Victoria,-4.15%,49.04%,-4.52%,#N/A,#N/A,#N/A,#N/A
CARDIGAN,177500,216500,225000,225000,242500,622500,863500,727500,1090000,1150000,1045000,Regional Victoria,#N/A,#N/A,Regional Victoria,256.08%,26.23%,-4.13%,#N/A,#N/A,#N/A,#N/A
CARLTON,1002500,1020000,830000,1050000,1470000,1625000,1308000,1452500,1492500,1512500,1485000,1,Não,Sim,Inner city,-11.02%,14.11%,-0.50%,Tram only,0,1,0
CARLTON NORTH,890500,1095000,1177500,1360000,1628000,1445000,1555000,1500000,1712000,1660000,1480000,2,Não,Sim,Inner city,-4.48%,10.10%,-13.55%,Tram only,0,1,0
CARNEGIE,865000,1007500,1300000,1348500,1510000,1445000,1313500,1420000,1776000,1685000,1675000,11,Sim,Não,Inner suburbs,-13.01%,35.21%,-5.69%,Train only,1,0,0
CAROLINE SPRINGS,435000,460000,480000,530000,611000,620000,620000,650000,720000,750000,730500,25,Não,Não,Middle ring,1.47%,16.13%,1.46%,None,0,0,0
CARRUM,510000,536000,611000,750000,835500,860000,770000,830500,967000,965000,1030000,31,Sim,Não,Outer ring,-7.84%,25.58%,6.51%,Train only,1,0,0
CARRUM DOWNS,330000,346000,370000,430000,525000,575000,537000,575000,665000,705000,695000,33,Não,Não,Outer ring,2.29%,23.84%,4.51%,None,0,0,0
CASTERTON,97500,99000,100000,126500,142000,132500,150000,161500,200000,300000,290000,Regional Victoria,#N/A,#N/A,Regional Victoria,5.63%,33.33%,45.00%,#N/A,#N/A,#N/A,#N/A
CASTLEMAINE,372500,369500,380000,410000,435000,499000,520000,556500,680500,725000,725000,Regional Victoria,#N/A,#N/A,Regional Victoria,19.54%,30.87%,6.54%,#N/A,#N/A,#N/A,#N/A
CAULFIELD,1172500,1322000,1650000,1715000,1885000,1701000,1762500,1818500,2060000,2079000,1786000,7,Sim,Não,Inner city,-6.50%,16.88%,-13.30%,Train only,1,0,0
CAULFIELD NORTH,1415000,1480000,1875000,2181000,2285000,1960000,2112000,2360000,2697500,2650000,2620000,6,Não,Sim,Inner city,-7.57%,27.72%,-2.87%,Tram only,0,1,0
CAULFIELD SOUTH,1050000,1200000,1375000,1517500,1690000,1600000,1494500,1750000,1950000,1845000,1945000,8,Não,Não,Inner city,-11.57%,30.48%,-0.26%,None,0,0,0
CHADSTONE,719000,823500,925000,1017500,1131000,1050000,958000,1095000,1255000,1172500,1290000,13,Não,Não,Inner suburbs,-15.30%,31.00%,2.79%,None,0,0,0
CHARLEMONT,-,-,-,-,157000,455000,465000,530000,628000,650000,610000,Regional Victoria,#N/A,#N/A,Regional Victoria,196.18%,35.05%,-2.87%,#N/A,#N/A,#N/A,#N/A
