Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Dist,Train,Tram,Group,Pré,Pan,Pós,Transport,Train,Tram,Bouth
RED HILL,515000,675000,645000,677500,815000,930000,860000,900000,1550000,1960000,1507500,Regional Victoria,#N/A,#N/A,Regional Victoria,5.52%,80.23%,-2.74%,#N/A,#N/A,#N/A,#N/A
REDAN,250000,245000,246500,255000,287500,330000,357000,900000,455000,515000,485000,Regional Victoria,#N/A,#N/A,Regional Victoria,24.17%,27.45%,6.59%,#N/A,#N/A,#N/A,#N/A
RESEARCH,605500,685000,686000,825500,950000,915000,937500,1178000,1201000,1520000,1030000,28,Sim,Não,Middle ring,-1.32%,28.11%,-14.24%,Train only,1,0,0
RESERVOIR,510000,541000,615000,707500,812500,790000,754000,795000,945000,940000,870000,11,Sim,Não,Inner suburbs,-7.20%,25.33%,-7.94%,Train only,1,0,0
RHYLL,393000,482000,402000,460000,527500,657500,565000,579000,757500,911000,752500,Regional Victoria,#N/A,#N/A,Regional Victoria,7.11%,34.07%,-0.66%,#N/A,#N/A,#N/A,#N/A
RICHMOND,900000,961000,1150000,1265000,1302500,1311000,1260000,1365000,1490000,1400000,1377500,3,Sim,Sim,Inner city,-3.26%,18.25%,-7.55%,Train and Tram,1,1,1
RIDDELLS CREEK,450000,417500,456500,500000,580000,675000,710000,680000,870000,872500,865000,58,Não,Não,Fringe,22.41%,22.54%,-0.57%,None,0,0,0
RINGWOOD,552000,660000,777500,837500,910500,896500,801000,900000,1018000,1038000,999500,24,Sim,Não,Middle ring,-12.03%,27.09%,-1.82%,Train only,1,0,0
RINGWOOD EAST,547000,612000,750000,806000,901000,881000,809000,861000,1050000,975000,1000000,26,Sim,Não,Middle ring,-10.21%,29.79%,-4.76%,Train only,1,0,0
RINGWOOD NORTH,630500,662000,783500,844000,960500,920000,870000,957500,1183000,1200000,1217500,24,Não,Não,Middle ring,-9.42%,35.98%,2.92%,None,0,0,0
RIPPLESIDE,575000,530000,640000,739000,725000,750000,825000,862000,1100000,1205000,1050000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.79%,33.33%,-4.55%,#N/A,#N/A,#N/A,#N/A
RIPPONLEA,985000,1000000,1360000,1700000,1787500,1564000,1350000,2001000,1892500,1560000,1457500,6,Sim,Não,Inner city,-24.48%,40.19%,-22.99%,Train only,1,0,0
ROBINVALE,152500,160000,184500,170000,197000,220000,231500,235000,340000,315000,355000,Regional Victoria,#N/A,#N/A,Regional Victoria,17.51%,46.87%,4.41%,#N/A,#N/A,#N/A,#N/A
ROCHESTER,189500,215000,235000,239000,242500,236000,255000,237000,350000,440000,262500,Regional Victoria,#N/A,#N/A,Regional Victoria,5.15%,37.25%,-25.00%,#N/A,#N/A,#N/A,#N/A
ROCKBANK,309000,280000,300000,347000,455000,500000,497000,465000,565000,620000,624500,32,Sim,Não,Outer ring,9.23%,13.68%,10.53%,Train only,1,0,0
ROMSEY,387500,396000,420000,428000,470000,550000,580500,630000,780000,839000,755000,Regional Victoria,#N/A,#N/A,Regional Victoria,23.51%,34.37%,-3.21%,#N/A,#N/A,#N/A,#N/A
ROSANNA,717500,781500,905000,980000,1175000,1100000,1032500,1121500,1382500,1216000,1298000,12,Sim,Não,Inner suburbs,-12.13%,33.90%,-6.11%,Train only,1,0,0
ROSEBUD,367000,365000,389000,445000,536000,590000,550000,595000,780000,820500,747500,76,Não,Não,Fringe,2.61%,41.82%,-4.17%,None,0,0,0
ROSEBUD SOUTH,425000,500000,515000,545000,647500,711500,697000,675000,951000,1090000,1063500,Regional Victoria,#N/A,#N/A,Regional Victoria,7.64%,36.44%,11.83%,#N/A,#N/A,#N/A,#N/A
ROSEDALE,215000,215000,197000,230000,247000,280000,247000,250000,365000,420000,475000,Regional Victoria,#N/A,#N/A,Regional Victoria,0.00%,47.77%,30.14%,#N/A,#N/A,#N/A,#N/A
ROWVILLE,570000,617500,710000,778000,867000,838000,815500,838000,1000000,1080000,1090000,28,Não,Não,Middle ring,-5.94%,22.62%,9.00%,None,0,0,0
ROXBURGH PARK,365000,385000,400000,435000,515000,546000,543000,572500,615000,652000,632500,22,Sim,Não,Middle ring,5.44%,13.26%,2.85%,Train only,1,0,0
RUSHWORTH,161000,158000,177000,200000,192500,198000,205000,226000,301000,352500,367000,Regional Victoria,#N/A,#N/A,Regional Victoria,6.49%,46.83%,21.93%,#N/A,#N/A,#N/A,#N/A
RUTHERGLEN,232000,195000,230000,255000,262000,270000,282500,350000,402500,486500,479000,Regional Victoria,#N/A,#N/A,Regional Victoria,7.82%,42.48%,19.01%,#N/A,#N/A,#N/A,#N/A
RYE,425500,460000,488000,550000,659000,705000,690000,793500,1100000,1195000,1098500,Regional Victoria,#N/A,#N/A,Regional Victoria,4.70%,59.42%,-0.14%,#N/A,#N/A,#N/A,#N/A
SAFETY BEACH,515000,516500,595000,665000,780000,825000,810000,897500,1109000,1241000,1220500,Regional Victoria,#N/A,#N/A,Regional Victoria,3.85%,36.91%,10.05%,#N/A,#N/A,#N/A,#N/A
SAILORS GULLY,253000,262500,235000,225000,232000,290000,280000,300000,390000,505500,469000,Regional Victoria,#N/A,#N/A,Regional Victoria,20.69%,39.29%,20.26%,#N/A,#N/A,#N/A,#N/A
SALE,290000,300000,298000,295500,300000,309500,325000,345000,399000,487000,480000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.33%,22.77%,20.30%,#N/A,#N/A,#N/A,#N/A
SAN REMO,410000,407000,420000,460000,497000,515000,554500,597500,850000,1020000,952500,Regional Victoria,#N/A,#N/A,Regional Victoria,11.57%,53.29%,12.06%,#N/A,#N/A,#N/A,#N/A
SANCTUARY LAKES,480000,485000,570000,502000,630000,625000,625000,652000,710000,750000,733500,26,Não,Não,Middle ring,-0.79%,13.60%,3.31%,None,0,0,0
SANDHURST,545000,549000,617500,678500,730000,837500,812500,780000,950000,1009000,1075000,Regional Victoria,#N/A,#N/A,Regional Victoria,11.30%,16.92%,13.16%,#N/A,#N/A,#N/A,#N/A
SANDRINGHAM,1210000,1305000,1490000,1760000,1862500,1850000,1665000,1850000,2420000,2400000,2100000,14,Sim,Não,Inner suburbs,-10.60%,45.35%,-13.22%,Train only,1,0,0
SANDY POINT,352500,380000,370000,359000,407500,410000,410000,517500,755000,820000,815000,Regional Victoria,#N/A,#N/A,Regional Victoria,0.61%,84.15%,7.95%,#N/A,#N/A,#N/A,#N/A
SASSAFRAS,632500,556000,562000,653500,775500,750000,805000,770000,860000,1020000,959000,Regional Victoria,#N/A,#N/A,Regional Victoria,3.80%,6.83%,11.51%,#N/A,#N/A,#N/A,#N/A
SCORESBY,509000,570000,661000,700000,878500,835000,766500,785000,951500,975500,955500,26,Não,Não,Middle ring,-12.75%,24.14%,0.42%,None,0,0,0
SEA LAKE,80000,75000,90000,75000,70000,110000,100000,106500,125000,173000,187500,Regional Victoria,#N/A,#N/A,Regional Victoria,42.86%,25.00%,50.00%,#N/A,#N/A,#N/A,#N/A
SEABROOK,422500,402500,456000,509000,635000,672500,626500,652500,730000,755000,741500,21,Não,Não,Middle ring,-1.34%,16.52%,1.58%,None,0,0,0
SEAFORD,419500,450000,475000,580500,700000,696000,655000,700000,850000,880000,830000,37,Sim,Não,Outer ring,-6.43%,29.77%,-2.35%,Train only,1,0,0
SEAHOLME,640000,670000,802500,870000,1157500,1015000,1020000,937500,1209500,1135000,1525000,11,Sim,Não,Inner suburbs,-11.88%,18.58%,26.09%,Train only,1,0,0
SEASPRAY,152000,164000,240000,175000,215000,210000,265000,260000,335000,390000,465000,Regional Victoria,#N/A,#N/A,Regional Victoria,23.26%,26.42%,38.81%,#N/A,#N/A,#N/A,#N/A
SEBASTOPOL,242000,235500,244500,247500,256000,289000,315000,341000,420000,480000,455000,Regional Victoria,#N/A,#N/A,Regional Victoria,23.05%,33.33%,8.33%,#N/A,#N/A,#N/A,#N/A
SEDDON,675000,730000,830000,934500,982500,1018500,960000,1100000,1244000,1055000,1100000,5,Não,Sim,Inner city,-2.29%,29.58%,-11.58%,Tram only,0,1,0
SELBY,420000,420000,469500,527500,600000,637500,601500,720000,904500,771500,837500,38,Não,Não,Outer ring,0.25%,50.37%,-7.41%,None,0,0,0
SEVILLE,400000,397500,450000,511500,611500,634500,630000,626000,775000,812500,870000,47,Não,Não,Fringe,3.03%,23.02%,12.26%,None,0,0,0
SEVILLE EAST,339500,350000,395000,440000,482500,551500,580000,600000,720000,700000,755000,48,Não,Não,Fringe,20.21%,24.14%,4.86%,None,0,0,0
SEYMOUR,220000,213000,225000,242500,277000,295000,300000,325000,390000,447500,467500,Regional Victoria,#N/A,#N/A,Regional Victoria,8.30%,30.00%,19.87%,#N/A,#N/A,#N/A,#N/A
SHEPPARTON,247000,243000,250000,265000,261000,275000,282000,310000,370000,430000,445000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.05%,31.21%,20.27%,#N/A,#N/A,#N/A,#N/A
SHEPPARTON NORTH,346000,375000,348000,361000,347000,334000,393000,379000,425000,612000,610000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.26%,8.14%,43.53%,#N/A,#N/A,#N/A,#N/A
SHOREHAM,607000,620000,903000,868500,970000,1160000,1400000,1077000,1767500,2180000,2100000,Regional Victoria,#N/A,#N/A,Regional Victoria,44.33%,26.25%,18.81%,#N/A,#N/A,#N/A,#N/A
SILVERLEAVES,508000,460500,484000,446500,515000,721000,618500,775000,982000,990500,1137500,Regional Victoria,#N/A,#N/A,Regional Victoria,20.10%,58.77%,15.84%,#N/A,#N/A,#N/A,#N/A
SKIPTON,155000,117500,137000,169000,187500,159500,200000,219500,270000,360000,336000,Regional Victoria,#N/A,#N/A,Regional Victoria,6.67%,35.00%,24.44%,#N/A,#N/A,#N/A,#N/A
SKYE,395000,413000,430000,479000,570000,611000,597500,610000,740000,770000,760000,42,Não,Não,Fringe,4.82%,23.85%,2.70%,None,0,0,0
SMITHS BEACH,372500,390000,455000,470000,458500,589000,624500,695000,837000,990000,957500,Regional Victoria,#N/A,#N/A,Regional Victoria,36.21%,34.03%,14.40%,#N/A,#N/A,#N/A,#N/A
SMYTHES CREEK,-,380000,380000,380000,380000,426500,430000,440500,545000,590000,550000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.16%,26.74%,0.92%,#N/A,#N/A,#N/A,#N/A
SOLDIERS HILL,283000,341000,310000,374000,423500,447500,480000,557500,568000,705000,570000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.34%,18.33%,0.35%,#N/A,#N/A,#N/A,#N/A
SOMERS,657500,755000,696500,755500,820000,888500,950000,980000,1707000,1765000,1550000,Regional Victoria,#N/A,#N/A,Regional Victoria,15.85%,79.68%,-9.20%,#N/A,#N/A,#N/A,#N/A
SOMERVILLE,385000,395000,425000,465000,580000,615000,600000,640000,780000,812000,765000,52,Não,Não,Fringe,3.45%,30.00%,-1.92%,None,0,0,0
SORRENTO,770000,795000,859000,1130000,1300000,1380000,1470000,1665000,2207500,2355000,2120000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.08%,50.17%,-3.96%,#N/A,#N/A,#N/A,#N/A
SOUTH GEELONG,420500,470000,425000,495000,650000,676000,702500,835000,1000000,970000,882000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.08%,42.35%,-11.80%,#N/A,#N/A,#N/A,#N/A
SOUTH KINGSVILLE,619500,671000,742000,903000,980000,1000000,859000,992000,1100000,972500,1250000,7,Não,Não,Inner city,-12.35%,28.06%,13.64%,None,0,0,0
SOUTH MELBOURNE,1030000,1200000,1310000,1595000,1532500,1465000,1355000,1580000,1710000,1882500,1630000,2,Não,Sim,Inner city,-11.58%,26.20%,-4.68%,Tram only,0,1,0
SOUTH MORANG,415000,420000,450000,502000,610500,634500,625500,623000,718000,760000,725000,22,Sim,Não,Middle ring,2.46%,14.79%,0.97%,Train only,1,0,0
SOUTH YARRA,1352500,1450000,1700000,1890000,2040000,1851000,1850000,2059000,2353000,2035500,2390000,3,Sim,Sim,Inner city,-9.31%,27.19%,1.57%,Train and Tram,1,1,1
SPOTSWOOD,680000,640000,795000,917500,1027500,1080000,950000,985000,1260000,1255000,1130000,6,Sim,Não,Inner city,-7.54%,32.63%,-10.32%,Train only,1,0,0
SPRING GULLY,345000,350000,350000,350000,390000,400000,386500,440000,552500,610000,700000,Regional Victoria,#N/A,#N/A,Regional Victoria,-0.90%,42.95%,26.70%,#N/A,#N/A,#N/A,#N/A
SPRINGVALE,451500,530000,629500,685000,750000,780000,746500,785000,855000,886000,870000,22,Sim,Não,Middle ring,-0.47%,14.53%,1.75%,Train only,1,0,0
SPRINGVALE SOUTH,430000,475000,562000,630000,720000,720000,679000,725000,800000,820000,800000,23,Não,Não,Middle ring,-5.69%,17.82%,0.00%,None,0,0,0
ST ALBANS,350000,373500,428000,500000,610000,626500,594000,600000,675000,682000,640500,15,Sim,Não,Inner suburbs,-2.62%,13.64%,-5.11%,Train only,1,0,0
ST ALBANS PARK,335000,330000,329000,331000,379000,450000,422000,455000,600000,650000,586500,Regional Victoria,#N/A,#N/A,Regional Victoria,11.35%,42.18%,-2.25%,#N/A,#N/A,#N/A,#N/A
ST ANDREWS BEACH,480000,495000,560000,695000,855000,902500,930000,1207500,1745500,1582500,1572500,Regional Victoria,#N/A,#N/A,Regional Victoria,8.77%,87.69%,-9.91%,#N/A,#N/A,#N/A,#N/A
ST ARNAUD,140000,145000,141000,142500,145000,145000,175000,170000,225000,310000,279500,Regional Victoria,#N/A,#N/A,Regional Victoria,20.69%,28.57%,24.22%,#N/A,#N/A,#N/A,#N/A
ST HELENA,612500,623000,711000,800000,893500,910000,905000,930000,1137500,1202500,1175000,22,Não,Não,Middle ring,1.29%,25.69%,3.30%,None,0,0,0
ST KILDA,892000,1225000,1164000,1305000,1551000,1755000,1600000,1330000,1705500,1710000,1480500,4,Não,Sim,Inner city,3.16%,6.59%,-13.19%,Tram only,0,1,0
ST KILDA EAST,1050500,1037500,1382500,1677500,1460000,1620000,1560500,1650000,1840000,1785000,1623000,5,Não,Sim,Inner city,6.88%,17.91%,-11.79%,Tram only,0,1,0
ST KILDA WEST,1142500,2235000,2013000,1797000,2380000,1942500,2465000,2630000,3300000,2742500,2855000,4,Não,Sim,Inner city,3.57%,33.87%,-13.48%,Tram only,0,1,0
ST LEONARDS                             ,350000,357000,375000,421500,2380000,571500,562500,572000,705000,805000,754000,Regional Victoria,#N/A,#N/A,Regional Victoria,-76.37%,25.33%,6.95%,#N/A,#N/A,#N/A,#N/A
STANHOPE,150000,131000,152500,147000,181000,161500,187500,201500,255000,223500,352500,Regional Victoria,#N/A,#N/A,Regional Victoria,3.59%,36.00%,38.24%,#N/A,#N/A,#N/A,#N/A
STAWELL,162500,172500,177000,177000,188000,190000,189000,227000,290000,355000,319000,Regional Victoria,#N/A,#N/A,Regional Victoria,0.53%,53.44%,10.00%,#N/A,#N/A,#N/A,#N/A
STRATFORD,230000,261500,260500,272500,265000,258000,316500,320000,397500,472000,480000,Regional Victoria,#N/A,#N/A,Regional Victoria,19.43%,25.59%,20.75%,#N/A,#N/A,#N/A,#N/A
STRATHDALE,392500,380000,410500,445000,380000,420000,451000,507000,640000,671500,637500,Regional Victoria,#N/A,#N/A,Regional Victoria,18.68%,41.91%,-0.39%,#N/A,#N/A,#N/A,#N/A
STRATHFIELDSAYE,377000,397500,408000,425000,455000,444000,476500,535000,636000,702500,715000,Regional Victoria,#N/A,#N/A,Regional Victoria,4.73%,33.47%,12.42%,#N/A,#N/A,#N/A,#N/A
STRATHMERTON,166000,172500,190000,182500,140000,187500,195000,205000,265000,325000,365000,Regional Victoria,#N/A,#N/A,Regional Victoria,39.29%,35.90%,37.74%,#N/A,#N/A,#N/A,#N/A
STRATHMORE,827500,865000,997500,1140000,1230000,1357500,1320000,1360000,1576000,1605000,1416500,11,Sim,Não,Inner suburbs,7.32%,19.39%,-10.12%,Train only,1,0,0
STRATHMORE HEIGHTS,621000,640000,700000,808000,970000,885000,800000,835000,962500,952500,1056000,12,Não,Não,Inner suburbs,-17.53%,20.31%,9.71%,None,0,0,0
STRATHTULLOH,350000,440000,425000,430000,359000,425000,507500,522500,585500,609000,642500,Regional Victoria,#N/A,#N/A,Regional Victoria,41.36%,15.37%,9.74%,#N/A,#N/A,#N/A,#N/A
STUDFIELD,532500,617500,785000,853000,957500,906000,811000,836000,1025000,950000,1095000,22,Não,Não,Middle ring,-15.30%,26.39%,6.83%,None,0,0,0
SUNBURY,355000,360000,370000,395000,492000,546000,533500,570000,645000,670000,660000,40,Sim,Não,Outer ring,8.43%,20.90%,2.33%,Train only,1,0,0
SUNDERLAND BAY,324500,333000,287000,360000,357500,455000,413500,525000,717000,677500,672500,Regional Victoria,#N/A,#N/A,Regional Victoria,15.66%,73.40%,-6.21%,#N/A,#N/A,#N/A,#N/A
SUNNYCLIFFS,195000,247500,185000,220000,228000,218000,229500,230000,326500,295000,380000,Regional Victoria,#N/A,#N/A,Regional Victoria,0.66%,42.27%,16.39%,#N/A,#N/A,#N/A,#N/A
SUNSET STRIP,301500,310000,301500,340000,345000,390000,460000,511000,602500,754000,690000,Regional Victoria,#N/A,#N/A,Regional Victoria,33.33%,30.98%,14.52%,#N/A,#N/A,#N/A,#N/A
SUNSHINE,435000,483500,530500,675000,765000,742000,720000,750000,870000,856500,797500,13,Sim,Não,Inner suburbs,-5.88%,20.83%,-8.33%,Train only,1,0,0
SUNSHINE NORTH,400000,425500,495000,560000,653000,673500,647000,690000,720000,750000,721500,12,Não,Não,Inner suburbs,-0.92%,11.28%,0.21%,None,0,0,0
SUNSHINE WEST,384500,395000,450000,520000,639000,635000,635000,657000,745000,751500,700000,14,Não,Não,Inner suburbs,-0.63%,17.32%,-6.04%,None,0,0,0
SURF BEACH,375000,360000,355000,414000,425000,480000,525000,559000,706500,895000,805000,Regional Victoria,#N/A,#N/A,Regional Victoria,23.53%,34.57%,13.94%,#N/A,#N/A,#N/A,#N/A
SURREY HILLS,1323000,1450000,1750000,1800500,2170000,1900000,1890000,1880000,2310000,2301500,2390000,11,Sim,Não,Inner suburbs,-12.90%,22.22%,3.46%,Train only,1,0,0
SWAN HILL,225000,230000,248000,262500,252000,267000,285000,319500,362000,405000,435000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.10%,27.02%,20.17%,#N/A,#N/A,#N/A,#N/A
SYDENHAM,425000,415000,440000,505000,590000,620000,595000,635000,690000,699000,741500,20,Sim,Não,Inner suburbs,0.85%,15.97%,7.46%,Train only,1,0,0
SYNDAL,950500,1160000,1505000,1410000,1585000,1540500,1499000,1570000,1800000,1867500,1955000,18,Sim,Não,Inner suburbs,-5.43%,20.08%,8.61%,Train only,1,0,0
TALLANGATTA,154000,200000,233000,216000,275000,245000,257500,280000,350000,436000,470000,Regional Victoria,#N/A,#N/A,Regional Victoria,-6.36%,35.92%,34.29%,#N/A,#N/A,#N/A,#N/A
TANGAMBALANGA,265000,245000,219500,276000,172500,292000,282500,459000,502500,593000,557500,Regional Victoria,#N/A,#N/A,Regional Victoria,63.77%,77.88%,10.95%,#N/A,#N/A,#N/A,#N/A
TARNEIT,371000,395000,400000,445000,515000,570000,550000,570000,602000,650000,653500,27,Sim,Não,Middle ring,6.80%,9.45%,8.55%,Train only,1,0,0
TATURA,230000,237500,233000,228000,262000,250000,276500,303500,357500,450000,475000,Regional Victoria,#N/A,#N/A,Regional Victoria,5.53%,29.29%,32.87%,#N/A,#N/A,#N/A,#N/A
TAWONGA SOUTH,219500,235000,257500,298000,254000,310000,422500,380000,545000,641000,553000,Regional Victoria,#N/A,#N/A,Regional Victoria,66.34%,28.99%,1.47%,#N/A,#N/A,#N/A,#N/A
TAYLORS HILL,487500,510000,530000,600000,686000,723000,702000,754000,840000,908000,906500,22,Não,Não,Middle ring,2.33%,19.66%,7.92%,None,0,0,0
TAYLORS LAKES,490000,510000,561500,635000,720000,763500,750000,777500,883500,936000,925000,20,Não,Não,Inner suburbs,4.17%,17.80%,4.70%,None,0,0,0
TECOMA,415000,478000,510000,601500,709000,700000,662500,742500,920000,837500,838000,38,Não,Não,Outer ring,-6.56%,38.87%,-8.91%,None,0,0,0
TEMPLESTOWE,865000,951500,1180000,1260000,1415000,1308000,1292500,1381500,1603000,1621500,1685000,16,Não,Não,Inner suburbs,-8.66%,24.02%,5.12%,None,0,0,0
TEMPLESTOWE LOWER,750000,830000,1060000,1105500,1302000,1150000,1080000,1189000,1432500,1390000,1410000,14,Não,Não,Inner suburbs,-17.05%,32.64%,-1.57%,None,0,0,0
TERANG,161500,195000,206500,150000,188500,194000,188500,232500,309000,365000,382500,Regional Victoria,#N/A,#N/A,Regional Victoria,0.00%,63.93%,23.79%,#N/A,#N/A,#N/A,#N/A
THE BASIN,430000,463500,550000,595000,610000,682500,695000,739000,875000,864000,850000,34,Não,Não,Outer ring,13.93%,25.90%,-2.86%,None,0,0,0
THE PATCH,393500,486500,505000,570500,665000,730000,755000,760000,882500,872000,830000,42,Não,Não,Fringe,13.53%,16.89%,-5.95%,None,0,0,0
THOMASTOWN,390000,420000,437000,493000,654000,636000,592000,620000,720000,710000,691000,17,Sim,Não,Inner suburbs,-9.48%,21.62%,-4.03%,Train only,1,0,0
THOMSON (GREATER,282000,290000,290000,309000,365000,411000,400500,435000,580000,575000,547500,Regional Victoria,#N/A,#N/A,Regional Victoria,9.73%,44.82%,-5.60%,#N/A,#N/A,#N/A,#N/A
THORNBURY,729000,841000,918000,1079500,1230000,1137500,1150000,1252500,1500000,1455000,1382000,5,Sim,Sim,Inner city,-6.50%,30.43%,-7.87%,Train and Tram,1,1,1
THORNHILL PARK,-,-,-,441000,447000,578000,535000,540000,550000,600000,610000,34,Não,Não,Outer ring,19.69%,2.80%,10.91%,None,0,0,0
TIMBOON,184000,210000,240000,215000,220000,247000,260000,412500,425000,440000,476500,Regional Victoria,#N/A,#N/A,Regional Victoria,18.18%,63.46%,12.12%,#N/A,#N/A,#N/A,#N/A
TONGALA,185000,179000,165000,204000,200000,275000,234500,236500,305000,377000,405500,Regional Victoria,#N/A,#N/A,Regional Victoria,17.25%,30.06%,32.95%,#N/A,#N/A,#N/A,#N/A
TOONGABBIE,234000,261500,235000,315000,286500,280500,270000,320000,445000,525000,569000,Regional Victoria,#N/A,#N/A,Regional Victoria,-5.76%,64.81%,27.87%,#N/A,#N/A,#N/A,#N/A
TOORA,171500,155000,230000,195000,190000,241500,275000,300000,430000,430000,450000,Regional Victoria,#N/A,#N/A,Regional Victoria,44.74%,56.36%,4.65%,#N/A,#N/A,#N/A,#N/A
TOORADIN,420000,480000,471000,411000,599000,702000,700000,755000,800000,910000,880000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.86%,14.29%,10.00%,#N/A,#N/A,#N/A,#N/A
TOORAK,2875000,3391000,4000000,4900000,5100000,4700000,4600000,5500000,6340000,6205000,5325000,5,Não,Sim,Inner city,-9.80%,37.83%,-16.01%,Tram only,0,1,0
TOOTGAROOK,387000,402500,405000,460000,591000,600500,586000,671000,874000,950000,885000,Regional Victoria,#N/A,#N/A,Regional Victoria,-0.85%,49.15%,1.26%,#N/A,#N/A,#N/A,#N/A
TORQUAY,580000,580000,620000,665000,720000,810000,815000,870000,1200000,1350000,1255000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.19%,47.24%,4.58%,#N/A,#N/A,#N/A,#N/A
TRAFALGAR,283000,311000,310000,312500,333500,375000,396500,435000,485000,590000,560000,Regional Victoria,#N/A,#N/A,Regional Victoria,18.89%,22.32%,15.46%,#N/A,#N/A,#N/A,#N/A
TRARALGON,269000,275000,273000,268000,288500,298000,326500,340000,408000,484000,500000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.17%,24.96%,22.55%,#N/A,#N/A,#N/A,#N/A
TRARALGON EAST,435000,440000,432500,445000,455000,425000,470000,501500,640000,722000,785000,Regional Victoria,#N/A,#N/A,Regional Victoria,3.30%,36.17%,22.66%,#N/A,#N/A,#N/A,#N/A
TRENTHAM,407500,340000,422500,455000,475000,603000,614000,632500,825000,1050000,930000,Regional Victoria,#N/A,#N/A,Regional Victoria,29.26%,34.36%,12.73%,#N/A,#N/A,#N/A,#N/A
TRUGANINA,360000,390000,391000,430000,519500,570000,575000,580000,615000,652000,647000,24,Não,Não,Middle ring,10.68%,6.96%,5.20%,None,0,0,0
TULLAMARINE,395000,412000,472500,530000,655000,665500,612000,640000,755000,760000,720000,15,Não,Não,Inner suburbs,-6.56%,23.37%,-4.64%,None,0,0,0
TYABB,370500,366000,395000,430000,510500,548000,586500,590000,736000,745500,730000,Regional Victoria,#N/A,#N/A,Regional Victoria,14.89%,25.49%,-0.82%,#N/A,#N/A,#N/A,#N/A
UPPER FERNTREE GULLY,435000,500000,515000,582000,685000,700000,642500,735000,865000,885000,852000,34,Sim,Não,Outer ring,-6.20%,34.63%,-1.50%,Train only,1,0,0
UPWEY,425000,476000,515000,585000,680000,710000,702500,760500,899000,890000,880000,36,Sim,Não,Outer ring,3.31%,27.97%,-2.11%,Train only,1,0,0
VENTNOR,370000,377500,423500,420000,465000,490000,540000,619500,770000,867500,800000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.13%,42.59%,3.90%,#N/A,#N/A,#N/A,#N/A
VENUS BAY,242500,237000,236000,258000,262500,305000,330000,375000,579500,672500,613500,Regional Victoria,#N/A,#N/A,Regional Victoria,25.71%,75.61%,5.87%,#N/A,#N/A,#N/A,#N/A
VERMONT,610000,725000,855000,900000,1065000,980000,935500,1000000,1226500,1200000,1235000,20,Não,Não,Inner suburbs,-12.16%,31.11%,0.69%,None,0,0,0
VERMONT SOUTH,722500,815000,1000000,1082500,1200500,1150000,1165000,1200000,1420000,1418000,1533000,21,Sim,Não,Middle ring,-2.96%,21.89%,7.96%,Train only,1,0,0
VIEWBANK,630000,725000,829500,920000,1000000,933000,920000,985000,1238000,1220000,1195000,14,Não,Não,Inner suburbs,-8.00%,34.57%,-3.47%,None,0,0,0
VIOLET TOWN,215000,199500,200000,238500,217000,242500,287500,328500,381500,385000,499500,Regional Victoria,#N/A,#N/A,Regional Victoria,32.49%,32.70%,30.93%,#N/A,#N/A,#N/A,#N/A
WAHGUNYAH,190000,213500,267000,290000,270000,240000,355000,320000,379000,517500,375000,Regional Victoria,#N/A,#N/A,Regional Victoria,31.48%,6.76%,-1.06%,#N/A,#N/A,#N/A,#N/A
WALLAN,341500,356000,362000,375000,425000,490000,480000,520000,580000,625000,620000,55,Não,Não,Fringe,12.94%,20.83%,6.90%,None,0,0,0
WALLAN EAST,310000,306500,309500,352500,410000,500000,457000,490000,575000,610000,600000,Regional Victoria,#N/A,#N/A,Regional Victoria,11.46%,25.82%,4.35%,#N/A,#N/A,#N/A,#N/A
WANDANA HEIGHTS,540000,582000,590000,592500,645000,700000,766500,827000,925000,1135000,1015000,Regional Victoria,#N/A,#N/A,Regional Victoria,18.84%,20.68%,9.73%,#N/A,#N/A,#N/A,#N/A
WANDIN NORTH,407500,439500,480000,496500,665000,665000,630000,715000,765000,805000,773000,46,Não,Não,Fringe,-5.26%,21.43%,1.05%,None,0,0,0
WANDONG,397500,332000,297500,400000,492500,494000,452500,640000,700000,719000,762500,Regional Victoria,#N/A,#N/A,Regional Victoria,-8.12%,54.70%,8.93%,#N/A,#N/A,#N/A,#N/A
WANGARATTA,240000,255000,272000,270500,270000,320000,319000,356500,425000,530000,525000,Regional Victoria,#N/A,#N/A,Regional Victoria,18.15%,33.23%,23.53%,#N/A,#N/A,#N/A,#N/A
WANTIRNA,576000,667500,764000,801000,953000,906500,850000,907000,1065000,1105000,1150000,24,Não,Não,Middle ring,-10.81%,25.29%,7.98%,None,0,0,0
